124/2647	(GI:15240690) is finished	(45.15 mins )
125/2647	(GI:145334505) is finished	(44.92 mins )
126/2647	(GI:15238053) is finished	(44.71 mins )
127/2647	(GI:30683552) is finished	(44.43 mins )
128/2647	(GI:15241502) is finished	(44.44 mins )
129/2647	(GI:22326612) is finished	(44.83 mins )
130/2647	(GI:79507493) is finished	(44.68 mins )
131/2647	(GI:18418423) is finished	(44.88 mins )
132/2647	(GI:15241790) is finished	(45.09 mins )
133/2647	(GI:145362616) is finished	(45.13 mins )
134/2647	(GI:15241537) is finished	(44.95 mins )
135/2647	(GI:15242241) is finished	(44.77 mins )
136/2647	(GI:186523725) is finished	(44.5 mins )
137/2647	(GI:18413737) is finished	(44.41 mins )
138/2647	(GI:22326663) is finished	(44.29 mins )
139/2647	(GI:15239069) is finished	(44.19 mins )
140/2647	(GI:15235982) is finished	(44.03 mins )
141/2647	(GI:15239322) is finished	(43.87 mins )
142/2647	(GI:186520861) is finished	(44.09 mins )
143/2647	(GI:15241467) is finished	(44.21 mins )
144/2647	(GI:42573251) is finished	(44.08 mins )
145/2647	(GI:18420236) is finished	(44.12 mins )
146/2647	(GI:30680867) is finished	(43.95 mins )
147/2647	(GI:42573395) is finished	(43.89 mins )
148/2647	(GI:15239150) is finished	(43.8 mins )
149/2647	(GI:15242564) is finished	(44.1 mins )
150/2647	(GI:79327915) is finished	(43.94 mins )
151/2647	(GI:15242709) is finished	(43.93 mins )
152/2647	(GI:186524134) is finished	(43.7 mins )
153/2647	(GI:79510032) is finished	(43.79 mins )
154/2647	(GI:145358033) is finished	(44.05 mins )
155/2647	(GI:15239156) is finished	(43.82 mins )
156/2647	(GI:42573363) is finished	(43.81 mins )
157/2647	(GI:186517886) is finished	(43.57 mins )
158/2647	(GI:15241626) is finished	(43.83 mins )
159/2647	(GI:15238809) is finished	(43.68 mins )
160/2647	(GI:30685380) is finished	(43.79 mins )
161/2647	(GI:30683605) is finished	(43.66 mins )
162/2647	(GI:79328089) is finished	(43.63 mins )
163/2647	(GI:22326653) is finished	(44.06 mins )
164/2647	(GI:15240751) is finished	(43.89 mins )
165/2647	(GI:79512687) is finished	(44.04 mins )
166/2647	(GI:18414919) is finished	(44.07 mins )
167/2647	(GI:145334271) is finished	(44.04 mins )
168/2647	(GI:18420517) is finished	(44.07 mins )
169/2647	(GI:30681763) is finished	(44.19 mins )
170/2647	(GI:42570512) is finished	(44.04 mins )
171/2647	(GI:15238224) is finished	(43.83 mins )
172/2647	(GI:15242636) is finished	(43.62 mins )
173/2647	(GI:22326834) is finished	(43.91 mins )
